ISO 639-1 Code  	English name of Language  	French name of Language
oc 	Occitan (post 1500) 	occitan (après 1500)
oj 	Ojibwa 	ojibwa
om 	Oromo 	galla
or 	Oriya 	oriya
os 	Ossetian; Ossetic 	ossète
pa 	Panjabi; Punjabi 	pendjabi
pi 	Pali 	pali
pl 	Polish 	polonais
ps 	Pushto; Pashto 	pachto
pt 	Portuguese 	portugais
qu 	Quechua 	quechua
rm 	Romansh 	romanche
rn 	Rundi 	rundi
ro 	Romanian; Moldavian; Moldovan 	roumain; moldave
ru 	Russian 	russe
rw 	Kinyarwanda 	rwanda
sa 	Sanskrit 	sanskrit
sc 	Sardinian 	sarde
sd 	Sindhi 	sindhi
se 	Northern Sami 	sami du Nord
sg 	Sango 	sango
si 	Sinhala; Sinhalese 	singhalais
sk 	Slovak 	slovaque
sl 	Slovenian 	slovène
sm 	Samoan 	samoan
sn 	Shona 	shona
so 	Somali 	somali
sq 	Albanian 	albanais
sr 	Serbian 	serbe
ss 	Swati 	swati
st 	Sotho, Southern 	sotho du Sud
su 	Sundanese 	soundanais
sv 	Swedish 	suédois
sw 	Swahili 	swahili
ta 	Tamil 	tamoul
te 	Telugu 	télougou
tg 	Tajik 	tadjik
th 	Thai 	thaï
ti 	Tigrinya 	tigrigna
tk 	Turkmen 	turkmène
tl 	Tagalog 	tagalog
tn 	Tswana 	tswana
to 	Tonga (Tonga Islands) 	tongan (Îles Tonga)
tr 	Turkish 	turc
ts 	Tsonga 	tsonga
tt 	Tatar 	tatar
tw 	Twi 	twi
ty 	Tahitian 	tahitien
ug 	Uighur; Uyghur 	ouïgour
uk 	Ukrainian 	ukrainien
ur 	Urdu 	ourdou
uz 	Uzbek 	ouszbek
ve 	Venda 	venda
vi 	Vietnamese 	vietnamien
vo 	Volapük 	volapük
wa 	Walloon 	wallon
wo 	Wolof 	wolof
xh 	Xhosa 	xhosa
yi 	Yiddish 	yiddish
yo 	Yoruba 	yoruba
za 	Zhuang; Chuang 	zhuang; chuang
zh 	Chinese 	chinois
zu 	Zulu 	zoulou
